id,object_name,chain,object_type,address,number,number_original,object_type_short,street,street_length
151635,СМЕТАНА,False,кафе,"город Москва, улица Егора Абакумова, дом 9",48.0,48,кафе,улица Егора Абакумова,21
77874,Родник,False,кафе,"город Москва, улица Талалихина, дом 2/1, корпус 1",35.0,35,кафе,улица Талалихина,16
24309,Кафе «Академия»,False,кафе,"город Москва, Абельмановская улица, дом 6",95.0,95,кафе,Абельмановская улица,20
21894,ПИЦЦЕТОРИЯ,True,кафе,"город Москва, Абрамцевская улица, дом 1",40.0,40,кафе,Абрамцевская улица,18
119365,Кафе «Вишневая метель»,False,кафе,"город Москва, Абрамцевская улица, дом 9, корпус 1",50.0,50,кафе,Абрамцевская улица,18
27429,СТОЛ. ПРИ ГОУ СОШ № 1051,False,столовая,"город Москва, Абрамцевская улица, дом 15, корпус 1",240.0,240,столовая,Абрамцевская улица,18
148815,Брусника,True,кафе,"город Москва, переулок Сивцев Вражек, дом 6/2",10.0,10,кафе,переулок Сивцев Вражек,22
20957,Буфет МТУСИ,False,столовая,"город Москва, Авиамоторная улица, дом 8, строение 1",90.0,90,столовая,Авиамоторная улица,18
20958,КПФ СЕМЬЯ-1,False,столовая,"город Москва, Авиамоторная улица, дом 8, строение 1",150.0,150,столовая,Авиамоторная улица,18
28858,Столовая МТУСИ,False,столовая,"город Москва, Авиамоторная улица, дом 8, строение 1",120.0,120,столовая,Авиамоторная улица,18
148595,Пекарня 24,False,закусочная,"город Москва, Авиамоторная улица, дом 47",5.0,5,закусочная,Авиамоторная улица,18
23394,Гогиели,False,кафе,"город Москва, Авиамоторная улица, дом 49/1",24.0,24,кафе,Авиамоторная улица,18
28582,ШКОЛА 735,False,столовая,"город Москва, Авиамоторная улица, дом 51",140.0,140,столовая,Авиамоторная улица,18
22579,Алло Пицца,True,кафе,"город Москва, улица Авиаторов, дом 14",32.0,32,кафе,улица Авиаторов,15
23670,Гимназия 1542,False,столовая,"город Москва, улица Авиаторов, дом 16",270.0,270,столовая,улица Авиаторов,15
23663,Школа 1011,False,столовая,"город Москва, улица Авиаторов, дом 18",320.0,320,столовая,улица Авиаторов,15
144107,Суши Wok,True,предприятие быстрого обслуживания,"город Москва, Азовская улица, дом 3",7.0,7,фастфуд,Азовская улица,14
154654,Донер Кебаб,False,предприятие быстрого обслуживания,"город Москва, Азовская улица, дом 4",2.0,2,фастфуд,Азовская улица,14
58565,Тануки,True,ресторан,"город Москва, Большая Академическая улица, дом 65",160.0,160,ресторан,Большая Академическая улица,27
153644,Американская Лаборатория Десертов,False,кафе,"город Москва, Филипповский переулок, дом 15/5",20.0,20,кафе,Филипповский переулок,21
21950,Кафе,False,кафе,"город Москва, Алтайская улица, дом 33/7",30.0,30,кафе,Алтайская улица,15
84832,КАФЕ УЮТ,False,кафе,"город Москва, Алтуфьевское шоссе, дом 14",110.0,110,кафе,Алтуфьевское шоссе,18
26931,Долина Чайхона,False,кафе,"город Москва, Алтуфьевское шоссе, дом 14",150.0,150,кафе,Алтуфьевское шоссе,18
28751,ГБОУ Школа № 1411 (970),False,столовая,"город Москва, Алтуфьевское шоссе, дом 42Б",120.0,120,столовая,Алтуфьевское шоссе,18
125608,Кафетерий,False,кафетерий,"город Москва, Алтуфьевское шоссе, дом 56",6.0,6,кафетерий,Алтуфьевское шоссе,18
81554,Домино'с Пицца,True,кафе,"город Москва, Алтуфьевское шоссе, дом 56",24.0,24,кафе,Алтуфьевское шоссе,18
21304,РАХИМКУЛОВА Т.Х.,False,буфет,"город Москва, Алтуфьевское шоссе, дом 102Б",20.0,20,буфет,Алтуфьевское шоссе,18
29223,СТОЛОВАЯ ПРИ ГУП ОБЪЕДИНЕННЫЙ КОМБИНАТ ШКОЛЬНОГО ПИТАНИЯ,False,столовая,"город Москва, улица Амундсена, дом 10",192.0,192,столовая,улица Амундсена,15
27439,ШКОЛА 1444,False,столовая,"город Москва, Анадырский проезд, дом 55",240.0,240,столовая,Анадырский проезд,17
22767,Мархал,False,кафе,"город Москва, Ангарская улица, дом 1, корпус 2",120.0,120,кафе,Ангарская улица,15
24387,Готика,True,ресторан,"город Москва, Ангарская улица, дом 39",65.0,65,ресторан,Ангарская улица,15
29006,Гимназия № 1527,False,столовая,"город Москва, проспект Андропова, дом 17, корпус 2",240.0,240,столовая,проспект Андропова,18
70791,Кафе «Хинкальная»,False,кафе,"город Москва, проспект Андропова, дом 26",45.0,45,кафе,проспект Андропова,18
69243,Суши Wok,True,кафе,"город Москва, проспект Андропова, дом 30",4.0,4,кафе,проспект Андропова,18
25711,Рыба & мясо на углях,False,кафе,"город Москва, проспект Андропова, дом 35А",45.0,45,кафе,проспект Андропова,18
21157,Кларом,False,столовая,"город Москва, проспект Андропова, дом 38, корпус 2",24.0,24,столовая,проспект Андропова,18
127979,Месопотамия,False,ресторан,"город Москва, улица Арбат, дом 4, строение 1",50.0,50,ресторан,улица Арбат,11
24968,Му-Му,True,кафе,"город Москва, улица Арбат, дом 4, строение 1",125.0,125,кафе,улица Арбат,11
127980,Хлеб насущный,True,кафе,"город Москва, улица Арбат, дом 6/2",20.0,20,кафе,улица Арбат,11
88194,TAJJ MAHAL,True,ресторан,"город Москва, улица Арбат, дом 6/2",100.0,100,ресторан,улица Арбат,11
107496,Калифорния Дайнер,False,кафе,"город Москва, улица Арбат, дом 23, строение 1",150.0,150,кафе,улица Арбат,11
110269,Балалаечная,False,кафе,"город Москва, улица Арбат, дом 23, строение 1",49.0,49,кафе,улица Арбат,11
74969,Пиросмани,False,кафе,"город Москва, улица Арбат, дом 25/36",63.0,63,кафе,улица Арбат,11
